***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 12-DEC-2022  12:14PM,,,,,
Time(s),V1,V2,V3,⁰C,Vavg
8700,0.830671,0.808307,0.840255,,0.826411
8760,0.830671,0.807774,0.839723,,0.826056
8820,0.830138,0.807774,0.83919,,0.825700667
8880,0.830138,0.807774,0.83919,,0.825700667
8940,0.830138,0.807774,0.838658,,0.825523333
9000,0.830138,0.807242,0.838658,,0.825346
9060,0.829606,0.807774,0.838658,,0.825346
9120,0.829073,0.807242,0.838126,,0.824813667
9180,0.828541,0.807242,0.837593,,0.824458667
9240,0.828541,0.807242,0.837593,,0.824458667
9300,0.828008,0.807242,0.837061,,0.824103667
9360,0.827476,0.807242,0.837061,,0.823926333
9420,0.827476,0.807242,0.837061,,0.823926333
9480,0.826943,0.807242,0.836528,,0.823571
9540,0.826411,0.807242,0.835996,,0.823216333
9600,0.826411,0.807242,0.835996,,0.823216333
9660,0.825878,0.806709,0.835996,,0.822861
9720,0.825878,0.806709,0.835463,,0.822683333
9780,0.825346,0.806709,0.834931,,0.822328667
9840,0.825346,0.806709,0.834931,,0.822328667
9900,0.824813,0.807242,0.834398,,0.822151
9960,0.824813,0.806709,0.834398,,0.821973333
10020,0.824813,0.807242,0.833866,,0.821973667
10080,0.824281,0.807242,0.833333,,0.821618667
10140,0.824281,0.807242,0.833333,,0.821618667
10200,0.824281,0.807242,0.833333,,0.821618667
10260,0.824281,0.807242,0.833333,,0.821618667
10320,0.823749,0.807242,0.832801,,0.821264
10380,0.824281,0.807242,0.832801,,0.821441333
10440,0.824281,0.807774,0.832801,,0.821618667
10500,0.823749,0.807774,0.832801,,0.821441333
10560,0.823749,0.807774,0.832801,,0.821441333
10620,0.823216,0.807774,0.832268,,0.821086
10680,0.822684,0.807774,0.831736,,0.820731333
10740,0.822684,0.807774,0.831736,,0.820731333
10800,0.822151,0.807774,0.831736,,0.820553667
10860,0.821619,0.807774,0.831203,,0.820198667
10920,0.821619,0.807774,0.830671,,0.820021333
10980,0.821086,0.807242,0.830138,,0.819488667
11040,0.821086,0.807242,0.829073,,0.819133667
11100,0.820554,0.807242,0.828541,,0.818779
11160,0.820554,0.806709,0.828008,,0.818423667
11220,0.819489,0.806709,0.827476,,0.817891333
11280,0.819489,0.806709,0.826943,,0.817713667
11340,0.819489,0.806709,0.826411,,0.817536333
11400,0.818956,0.806177,0.826411,,0.817181333
11460,0.818956,0.806177,0.826411,,0.817181333
11520,0.818424,0.806177,0.825878,,0.816826333
11580,0.818424,0.806177,0.825878,,0.816826333
11640,0.818424,0.806177,0.825878,,0.816826333
11700,0.818424,0.806177,0.825878,,0.816826333
11760,0.817891,0.805644,0.825878,,0.816471
11820,0.817891,0.805644,0.825346,,0.816293667
11880,0.817891,0.805644,0.825346,,0.816293667
11940,0.817891,0.805644,0.825346,,0.816293667
12000,0.817891,0.805112,0.824813,,0.815938667
12060,0.817891,0.805644,0.824281,,0.815938667
12120,0.817891,0.805112,0.824281,,0.815761333
12180,0.817891,0.804579,0.824281,,0.815583667
12240,0.818424,0.804579,0.823749,,0.815584
12300,0.817891,0.804579,0.824281,,0.815583667
12360,0.817359,0.804047,0.824281,,0.815229
12420,0.817359,0.804047,0.823749,,0.815051667
12480,0.817891,0.804047,0.823749,,0.815229
12540,0.817359,0.803514,0.823749,,0.814874
12600,0.817891,0.803514,0.823749,,0.815051333
12660,0.817891,0.802982,0.823216,,0.814696333
12720,0.818424,0.802982,0.823216,,0.814874
12780,0.818424,0.802449,0.823216,,0.814696333
12840,0.818424,0.802449,0.822684,,0.814519
12900,0.817891,0.801917,0.823216,,0.814341333
12960,0.818424,0.801917,0.822684,,0.814341667
13020,0.818424,0.801917,0.822684,,0.814341667
13080,0.817359,0.801384,0.822151,,0.813631333
13140,0.817359,0.801384,0.822151,,0.813631333
13200,0.817359,0.801384,0.821619,,0.813454
13260,0.817891,0.801384,0.821619,,0.813631333
13320,0.818424,0.801384,0.821086,,0.813631333
13380,0.817891,0.800852,0.820554,,0.813099
13440,0.817891,0.800852,0.820554,,0.813099
13500,0.817891,0.800852,0.820554,,0.813099
13560,0.817359,0.800319,0.819489,,0.812389
13620,0.816294,0.800319,0.819489,,0.812034
13680,0.816294,0.800319,0.818956,,0.811856333
13740,0.816294,0.799787,0.818424,,0.811501667
13800,0.815761,0.799787,0.818424,,0.811324
13860,0.815761,0.799787,0.818424,,0.811324
13920,0.815761,0.799254,0.817891,,0.810968667
13980,0.815229,0.799254,0.817891,,0.810791333
14040,0.814696,0.798722,0.817359,,0.810259
14100,0.814696,0.799254,0.816826,,0.810258667
14160,0.814696,0.798722,0.817359,,0.810259
14220,0.814164,0.798722,0.816826,,0.809904
14280,0.814164,0.798722,0.816826,,0.809904
14340,0.813631,0.798189,0.816826,,0.809548667
14400,0.813631,0.797657,0.816294,,0.809194
14460,0.813099,0.797657,0.815761,,0.808839
14520,0.813099,0.797124,0.815229,,0.808484
14580,0.813099,0.796592,0.815229,,0.808306667
14640,0.813099,0.796059,0.814696,,0.807951333
14700,0.812566,0.795527,0.814164,,0.807419
14760,0.812034,0.794995,0.814164,,0.807064333
14820,0.812034,0.794995,0.813631,,0.806886667
14880,0.811501,0.794462,0.813099,,0.806354
14940,0.812034,0.794462,0.813099,,0.806531667
15000,0.812034,0.79393,0.812566,,0.806176667
15060,0.811501,0.793397,0.811501,,0.805466333
15120,0.811501,0.792865,0.810969,,0.805111667
15180,0.812034,0.792865,0.810969,,0.805289333
15240,0.812034,0.792332,0.810436,,0.804934
15300,0.812034,0.792332,0.809904,,0.804756667
15360,0.812034,0.7918,0.809904,,0.804579333
15420,0.812034,0.790735,0.809372,,0.804047
15480,0.812034,0.790202,0.808839,,0.803691667
15540,0.812034,0.78967,0.808307,,0.803337
15600,0.811501,0.789137,0.808307,,0.802981667
15660,0.811501,0.788605,0.807242,,0.802449333
15720,0.810969,0.78754,0.806709,,0.801739333
15780,0.810969,0.78754,0.806177,,0.801562
15840,0.810436,0.787007,0.805644,,0.801029
15900,0.810436,0.786475,0.804579,,0.800496667
15960,0.809904,0.785942,0.803514,,0.799786667
16020,0.809904,0.78541,0.802449,,0.799254333
16080,0.809372,0.784877,0.801917,,0.798722
16140,0.809372,0.784345,0.801384,,0.798367
16200,0.808839,0.783812,0.800852,,0.797834333
16260,0.808839,0.783812,0.799787,,0.797479333
16320,0.808307,0.782747,0.799254,,0.796769333
16380,0.807774,0.782215,0.798189,,0.796059333
16440,0.807774,0.781682,0.797124,,0.795526667
16500,0.807242,0.78115,0.796592,,0.794994667
16560,0.806709,0.780085,0.796059,,0.794284333
16620,0.807242,0.779553,0.794462,,0.793752333
16680,0.806177,0.778488,0.794462,,0.793042333
16740,0.806709,0.777955,0.79393,,0.792864667
16800,0.806177,0.777423,0.793397,,0.792332333
16860,0.805644,0.77689,0.792332,,0.791622
16920,0.805644,0.776358,0.7918,,0.791267333
16980,0.805112,0.775825,0.790202,,0.790379667
17040,0.804579,0.77476,0.789137,,0.789492
17100,0.804047,0.774228,0.788072,,0.788782333
17160,0.803514,0.773163,0.787007,,0.787894667
17220,0.802982,0.77263,0.785942,,0.787184667
17280,0.802449,0.771565,0.784877,,0.786297
17340,0.801917,0.771033,0.783812,,0.785587333
17400,0.800852,0.7705,0.782747,,0.784699667
17460,0.800319,0.769435,0.781682,,0.783812
17520,0.799254,0.76837,0.780618,,0.782747333
17580,0.798189,0.767305,0.779553,,0.781682333
17640,0.797657,0.766241,0.778488,,0.780795333
17700,0.796592,0.765708,0.777423,,0.779907667
17760,0.796059,0.764643,0.77689,,0.779197333
17820,0.794462,0.764111,0.775825,,0.778132667
17880,0.79393,0.763046,0.77476,,0.777245333
17940,0.792865,0.761981,0.773695,,0.776180333
18000,0.792332,0.760916,0.77263,,0.775292667
18060,0.791267,0.760383,0.771565,,0.774405
18120,0.790202,0.759318,0.7705,,0.77334
18180,0.78967,0.758786,0.769435,,0.772630333
18240,0.788605,0.757721,0.768903,,0.771743
18300,0.78754,0.757188,0.767305,,0.770677667
18360,0.786475,0.756656,0.766773,,0.769968
18420,0.785942,0.755591,0.766241,,0.769258
18480,0.784877,0.754526,0.764643,,0.768015333
18540,0.783812,0.753461,0.764111,,0.767128
18600,0.782747,0.752928,0.763046,,0.766240333
18660,0.782215,0.752396,0.762513,,0.765708
18720,0.78115,0.751864,0.761981,,0.764998333
18780,0.780085,0.750799,0.761448,,0.764110667
18840,0.778488,0.750266,0.760383,,0.763045667
18900,0.777955,0.749201,0.759851,,0.762335667
18960,0.777423,0.748669,0.758786,,0.761626
19020,0.77689,0.748136,0.758253,,0.761093
19080,0.776358,0.747604,0.757188,,0.760383333
19140,0.775293,0.747071,0.756656,,0.759673333
19200,0.774228,0.747071,0.756123,,0.759140667
19260,0.773163,0.746006,0.755591,,0.758253333
19320,0.773163,0.745474,0.754526,,0.757721
19380,0.772098,0.744409,0.753993,,0.756833333
19440,0.771565,0.743876,0.753461,,0.756300667
19500,0.771033,0.742811,0.752928,,0.755590667
19560,0.7705,0.742279,0.752396,,0.755058333
19620,0.769968,0.741214,0.751864,,0.754348667
19680,0.768903,0.740681,0.751331,,0.753638333
19740,0.76837,0.740149,0.750266,,0.752928333
19800,0.767305,0.739084,0.749734,,0.752041
19860,0.766773,0.738551,0.748669,,0.751331
19920,0.766241,0.737487,0.748136,,0.750621333
19980,0.765176,0.736954,0.747604,,0.749911333
20040,0.764643,0.735889,0.747071,,0.749201
20100,0.764111,0.735357,0.746006,,0.748491333
20160,0.763046,0.734824,0.745474,,0.747781333
20220,0.762513,0.734292,0.745474,,0.747426333
20280,0.762513,0.733759,0.745474,,0.747248667
20340,0.761981,0.733227,0.745474,,0.746894
20400,0.761448,0.732694,0.744941,,0.746361
20460,0.760383,0.732694,0.744941,,0.746006
20520,0.760383,0.732162,0.744409,,0.745651333
20580,0.759851,0.732162,0.744409,,0.745474
20640,0.759318,0.731629,0.743876,,0.744941
20700,0.758253,0.731097,0.743876,,0.744408667
20760,0.758253,0.730564,0.743876,,0.744231
20820,0.757721,0.730032,0.743876,,0.743876333
20880,0.757188,0.728967,0.743344,,0.743166333
20940,0.756123,0.728967,0.743344,,0.742811333
21000,0.756123,0.728434,0.742811,,0.742456
21060,0.755591,0.727369,0.742811,,0.741923667
21120,0.755591,0.726837,0.742279,,0.741569
21180,0.754526,0.726304,0.742279,,0.741036333
21240,0.754526,0.725772,0.742279,,0.740859
21300,0.753993,0.725239,0.741746,,0.740326
21360,0.753461,0.724707,0.741214,,0.739794
21420,0.752928,0.724174,0.740681,,0.739261
21480,0.752396,0.723642,0.741214,,0.739084
21540,0.751864,0.723642,0.740681,,0.738729
21600,0.751331,0.723642,0.740681,,0.738551333
21660,0.750799,0.72311,0.739616,,0.737841667
21720,0.750266,0.72311,0.739084,,0.737486667
21780,0.750266,0.72311,0.738551,,0.737309
21840,0.749201,0.72311,0.738019,,0.736776667
21900,0.748136,0.72311,0.736954,,0.736066667
21960,0.747604,0.72311,0.736422,,0.735712
22020,0.747071,0.72311,0.735889,,0.735356667
22080,0.746539,0.72311,0.735357,,0.735002
22140,0.745474,0.72311,0.734824,,0.734469333
22200,0.744941,0.72311,0.734292,,0.734114333
22260,0.744409,0.72311,0.733759,,0.733759333
22320,0.743876,0.722577,0.733227,,0.733226667
22380,0.742811,0.722045,0.732694,,0.732516667
22440,0.742279,0.721512,0.732694,,0.732161667
22500,0.741746,0.72098,0.732162,,0.731629333
22560,0.741214,0.720447,0.732162,,0.731274333
22620,0.740681,0.719915,0.731629,,0.730741667
22680,0.740149,0.719382,0.731097,,0.730209333
22740,0.739616,0.719382,0.731097,,0.730031667
22800,0.739616,0.71885,0.730564,,0.729676667
22860,0.739084,0.718317,0.730032,,0.729144333
22920,0.738551,0.718317,0.729499,,0.728789
22980,0.738019,0.717785,0.728967,,0.728257
23040,0.737487,0.717252,0.728434,,0.727724333
23100,0.737487,0.71672,0.727902,,0.727369667
23160,0.736954,0.71672,0.727902,,0.727192
23220,0.736954,0.716187,0.728434,,0.727191667
23280,0.736422,0.715655,0.728434,,0.726837
23340,0.735889,0.715122,0.728434,,0.726481667
23400,0.735889,0.715122,0.728434,,0.726481667
23460,0.735357,0.71459,0.728434,,0.726127
23520,0.734824,0.714057,0.728434,,0.725771667
23580,0.734292,0.714057,0.728434,,0.725594333
23640,0.734292,0.714057,0.728434,,0.725594333
23700,0.734292,0.714057,0.728967,,0.725772
23760,0.733759,0.713525,0.728434,,0.725239333
23820,0.733759,0.713525,0.728434,,0.725239333
23880,0.732694,0.714057,0.728434,,0.725061667
23940,0.732694,0.713525,0.728434,,0.724884333
24000,0.732694,0.713525,0.728434,,0.724884333
24060,0.732162,0.712992,0.728434,,0.724529333
24120,0.732162,0.712992,0.728434,,0.724529333
24180,0.731629,0.71246,0.727902,,0.723997
24240,0.731629,0.71246,0.728434,,0.724174333
24300,0.731629,0.711927,0.728434,,0.723996667
24360,0.731629,0.711927,0.728434,,0.723996667
24420,0.731629,0.711395,0.728434,,0.723819333
24480,0.731097,0.711395,0.728434,,0.723642
24540,0.731097,0.711395,0.728434,,0.723642
24600,0.731097,0.711927,0.728967,,0.723997
24660,0.731097,0.711927,0.727902,,0.723642
24720,0.731629,0.711927,0.727902,,0.723819333
24780,0.732162,0.711927,0.727369,,0.723819333
24840,0.731629,0.711927,0.726837,,0.723464333
24900,0.731629,0.711927,0.725772,,0.723109333
24960,0.731097,0.711927,0.725239,,0.722754333
25020,0.731097,0.711927,0.724707,,0.722577
25080,0.730564,0.711927,0.724707,,0.722399333
25140,0.730564,0.711927,0.725239,,0.722576667
25200,0.730032,0.711927,0.725239,,0.722399333
25260,0.730032,0.711395,0.724707,,0.722044667
25320,0.729499,0.711395,0.724707,,0.721867
25380,0.729499,0.711395,0.724707,,0.721867
25440,0.728967,0.711395,0.724707,,0.721689667
25500,0.728967,0.711395,0.724174,,0.721512
25560,0.728967,0.710862,0.724174,,0.721334333
25620,0.728434,0.711395,0.724174,,0.721334333
25680,0.728434,0.711395,0.724174,,0.721334333
25740,0.728434,0.711395,0.724174,,0.721334333
25800,0.727902,0.711395,0.724174,,0.721157
25860,0.727902,0.711927,0.723642,,0.721157
25920,0.727902,0.711927,0.723642,,0.721157
25980,0.727902,0.712992,0.723642,,0.721512
26040,0.727369,0.712992,0.723642,,0.721334333
26100,0.727369,0.712992,0.723642,,0.721334333
26160,0.727369,0.713525,0.723642,,0.721512
26220,0.727369,0.713525,0.723642,,0.721512
26280,0.726837,0.714057,0.723642,,0.721512
26340,0.726837,0.71459,0.723642,,0.721689667
26400,0.726837,0.715122,0.723642,,0.721867
26460,0.726304,0.715122,0.723642,,0.721689333
26520,0.726304,0.715122,0.724174,,0.721866667
26580,0.726304,0.715122,0.723642,,0.721689333
26640,0.726304,0.715122,0.723642,,0.721689333
26700,0.725772,0.71459,0.723642,,0.721334667
26760,0.725772,0.714057,0.723642,,0.721157
26820,0.725772,0.713525,0.723642,,0.720979667
26880,0.725772,0.713525,0.723642,,0.720979667
26940,0.725772,0.712992,0.723642,,0.720802
27000,0.725239,0.712992,0.723642,,0.720624333
27060,0.725239,0.712992,0.723642,,0.720624333
27120,0.724707,0.713525,0.724174,,0.720802
27180,0.724707,0.713525,0.723642,,0.720624667
27240,0.724707,0.713525,0.723642,,0.720624667
27300,0.724174,0.713525,0.723642,,0.720447
27360,0.724174,0.713525,0.723642,,0.720447
27420,0.724174,0.713525,0.723642,,0.720447
27480,0.724174,0.713525,0.723642,,0.720447
27540,0.723642,0.712992,0.723642,,0.720092
27600,0.723642,0.712992,0.723642,,0.720092
27660,0.723642,0.71246,0.723642,,0.719914667
27720,0.72311,0.71246,0.72311,,0.71956
27780,0.72311,0.711927,0.72311,,0.719382333
27840,0.722577,0.711927,0.722577,,0.719027
27900,0.722577,0.711927,0.722577,,0.719027
27960,0.722045,0.711927,0.722577,,0.718849667
28020,0.722045,0.711395,0.722577,,0.718672333
28080,0.722045,0.711395,0.722045,,0.718495
28140,0.721512,0.711395,0.722045,,0.718317333
28200,0.72098,0.711395,0.722045,,0.71814
28260,0.72098,0.711395,0.721512,,0.717962333
28320,0.720447,0.710862,0.721512,,0.717607
28380,0.720447,0.710862,0.72098,,0.717429667
28440,0.719915,0.710862,0.72098,,0.717252333
28500,0.719915,0.71033,0.72098,,0.717075
28560,0.719382,0.71033,0.720447,,0.716719667
28620,0.719382,0.71033,0.720447,,0.716719667
28680,0.71885,0.709797,0.720447,,0.716364667
28740,0.718317,0.709797,0.719915,,0.716009667
28800,0.718317,0.709797,0.719915,,0.716009667
28860,0.717785,0.709265,0.719382,,0.715477333
28920,0.717785,0.709265,0.719382,,0.715477333
28980,0.717252,0.708733,0.719382,,0.715122333
29040,0.717252,0.708733,0.71885,,0.714945
29100,0.717252,0.708733,0.718317,,0.714767333
29160,0.71672,0.7082,0.718317,,0.714412333
29220,0.71672,0.7082,0.717785,,0.714235
29280,0.716187,0.707668,0.717785,,0.71388
29340,0.715655,0.707668,0.717785,,0.713702667
29400,0.715655,0.707668,0.717252,,0.713525
29460,0.715122,0.707135,0.717252,,0.713169667
29520,0.71459,0.707135,0.71672,,0.712815
29580,0.71459,0.706603,0.71672,,0.712637667
29640,0.714057,0.706603,0.716187,,0.712282333
29700,0.713525,0.70607,0.716187,,0.711927333
29760,0.712992,0.70607,0.715655,,0.711572333
29820,0.712992,0.705538,0.715655,,0.711395
29880,0.71246,0.705538,0.715122,,0.71104
29940,0.71246,0.705005,0.715122,,0.710862333
30000,0.711927,0.705005,0.71459,,0.710507333
30060,0.711927,0.704473,0.71459,,0.71033
30120,0.711395,0.704473,0.714057,,0.709975
30180,0.711395,0.70394,0.714057,,0.709797333
30240,0.710862,0.70394,0.713525,,0.709442333
30300,0.710862,0.703408,0.713525,,0.709265
30360,0.71033,0.703408,0.712992,,0.70891
30420,0.71033,0.703408,0.712992,,0.70891
30480,0.709797,0.702875,0.71246,,0.708377333
30540,0.709797,0.702343,0.71246,,0.7082
30600,0.709797,0.702343,0.711927,,0.708022333
30660,0.709265,0.70181,0.711927,,0.707667333
30720,0.709265,0.70181,0.711395,,0.70749
30780,0.709265,0.701278,0.711395,,0.707312667
30840,0.708733,0.700745,0.711395,,0.706957667
30900,0.708733,0.700745,0.710862,,0.70678
30960,0.708733,0.700745,0.710862,,0.70678
31020,0.7082,0.700213,0.710862,,0.706425
31080,0.7082,0.69968,0.71033,,0.70607
31140,0.7082,0.69968,0.71033,,0.70607
31200,0.7082,0.699148,0.709797,,0.705715
31260,0.707668,0.699148,0.709797,,0.705537667
31320,0.707668,0.698615,0.709797,,0.70536
31380,0.707135,0.698615,0.708733,,0.704827667
31440,0.707135,0.698615,0.7082,,0.70465
31500,0.707135,0.69968,0.707668,,0.704827667
31560,0.707135,0.699148,0.706603,,0.704295333
31620,0.706603,0.698615,0.705538,,0.703585333
31680,0.706603,0.698615,0.705005,,0.703407667
31740,0.706603,0.698083,0.704473,,0.703053
31800,0.706603,0.69755,0.70394,,0.702697667
31860,0.70607,0.697018,0.702875,,0.701987667
31920,0.70607,0.697018,0.702343,,0.701810333
31980,0.70607,0.696485,0.70181,,0.701455
32040,0.705538,0.695953,0.701278,,0.700923
32100,0.705538,0.69542,0.700745,,0.700567667
32160,0.705538,0.694888,0.700213,,0.700213
32220,0.705538,0.694356,0.69968,,0.699858
32280,0.705005,0.693823,0.69968,,0.699502667
32340,0.705005,0.693823,0.698615,,0.699147667
32400,0.705005,0.693291,0.698083,,0.698793
32460,0.705005,0.692758,0.698083,,0.698615333
32520,0.704473,0.692226,0.69755,,0.698083
32580,0.704473,0.692226,0.697018,,0.697905667
32640,0.704473,0.691693,0.696485,,0.697550333
32700,0.70394,0.691693,0.695953,,0.697195333
32760,0.70394,0.691161,0.69542,,0.696840333
32820,0.70394,0.690628,0.694888,,0.696485333
32880,0.70394,0.690096,0.694888,,0.696308
32940,0.703408,0.689563,0.694356,,0.695775667
33000,0.703408,0.689563,0.693823,,0.695598
33060,0.703408,0.689031,0.693291,,0.695243333
33120,0.702875,0.688498,0.692758,,0.694710333
33180,0.702875,0.688498,0.692226,,0.694533
